city,population,longitude,latitude
Cherkasy ,274343,32.059759,49.444433
Chernihiv ,286899,31.29832,51.491512
Chernivtsi ,267060,25.935216,48.291682
Dnipro ,993220,35.046181,48.464717
Donetsk ,908456,37.80285,48.015877
Ivano-Frankivsk ,237685,24.711108,48.922629
Kharkiv ,1443207,36.231202,49.992167
Kherson ,286958,32.614522,46.639057
Khmelnytskyi ,274297,26.987161,49.423013
Kyiv ,2962500,30.523541,50.450418
Kropyvnytskyi ,227413,32.262311,48.507927
Luhansk ,401297,39.307708,48.573837
Lviv ,724314,24.029709,49.839678
Mykolaiv ,477911,31.994577,46.975033
Odesa ,1017699,30.732597,46.484579
Poltava ,288324,34.551416,49.588334
Rivne ,246003,26.251611,50.619898
Sumy ,263448,34.79812,50.907737
Ternopil ,223462,25.594763,49.553515
Vinnytsia ,370707,28.468231,49.233118
Lutsk ,217486,25.325412,50.747304
Uzhhorod ,115512,22.288774,48.625465
Zaporizhzhia ,731922,35.139561,47.838796
Zhytomyr ,264452,28.658692,50.254623
